2.2247 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
55.1037 	EXP 	window1: recordFrameIntervals = False
55.1052 	DATA 	Keypress: left
55.1177 	EXP 	fixation: autoDraw = False
55.1177 	EXP 	grating: autoDraw = False
55.1180 	EXP 	window1: recordFrameIntervals = False
56.1167 	EXP 	fixation: autoDraw = True
57.1163 	EXP 	fixation: autoDraw = False
57.1163 	EXP 	grating: autoDraw = True
57.1163 	EXP 	grating: tex = 'sin'
57.4160 	EXP 	grating: autoDraw = False
57.4524 	EXP 	window1: recordFrameIntervals = False
57.4541 	DATA 	Keypress: right
57.4664 	EXP 	fixation: autoDraw = False
57.4664 	EXP 	grating: autoDraw = False
57.4667 	EXP 	window1: recordFrameIntervals = False
58.4655 	EXP 	fixation: autoDraw = True
59.4649 	EXP 	fixation: autoDraw = False
59.4649 	EXP 	grating: autoDraw = True
59.4649 	EXP 	grating: tex = 'sin'
59.7647 	EXP 	grating: autoDraw = False
59.8009 	EXP 	window1: recordFrameIntervals = False
59.8024 	DATA 	Keypress: right
59.8148 	EXP 	fixation: autoDraw = False
59.8148 	EXP 	grating: autoDraw = False
59.8151 	EXP 	window1: recordFrameIntervals = False
60.8146 	EXP 	fixation: autoDraw = True
61.8137 	EXP 	grating: autoDraw = True
61.8137 	EXP 	grating: tex = 'sin'
61.8303 	EXP 	fixation: autoDraw = False
62.1134 	EXP 	grating: autoDraw = False
62.1658 	EXP 	window1: recordFrameIntervals = False
62.1671 	DATA 	Keypress: left
62.1802 	EXP 	fixation: autoDraw = False
62.1802 	EXP 	grating: autoDraw = False
62.1805 	EXP 	window1: recordFrameIntervals = False
63.1797 	EXP 	fixation: autoDraw = True
64.1795 	EXP 	fixation: autoDraw = False
64.1795 	EXP 	grating: autoDraw = True
64.1795 	EXP 	grating: tex = 'sin'
64.4479 	EXP 	window1: recordFrameIntervals = False
64.4495 	DATA 	Keypress: right
64.4622 	EXP 	fixation: autoDraw = False
64.4622 	EXP 	grating: autoDraw = False
64.4625 	EXP 	window1: recordFrameIntervals = False
65.4615 	EXP 	fixation: autoDraw = True
66.4612 	EXP 	fixation: autoDraw = False
66.4612 	EXP 	grating: autoDraw = True
66.4612 	EXP 	grating: tex = 'sin'
66.7613 	EXP 	grating: autoDraw = False
66.8467 	EXP 	window1: recordFrameIntervals = False
66.8485 	DATA 	Keypress: left
66.8609 	EXP 	fixation: autoDraw = False
66.8609 	EXP 	grating: autoDraw = False
66.8612 	EXP 	window1: recordFrameIntervals = False
67.8601 	EXP 	fixation: autoDraw = True
68.8597 	EXP 	fixation: autoDraw = False
68.8597 	EXP 	grating: autoDraw = True
68.8597 	EXP 	grating: tex = 'sin'
69.1595 	EXP 	grating: autoDraw = False
69.3451 	EXP 	window1: recordFrameIntervals = False
69.3465 	DATA 	Keypress: left
69.3596 	EXP 	fixation: autoDraw = False
69.3596 	EXP 	grating: autoDraw = False
69.3599 	EXP 	window1: recordFrameIntervals = False
70.3589 	EXP 	fixation: autoDraw = True
71.2606 	DATA 	Keypress: right
71.3583 	EXP 	fixation: autoDraw = False
71.3583 	EXP 	grating: autoDraw = True
71.3583 	EXP 	grating: tex = 'sin'
71.6583 	EXP 	grating: autoDraw = False
85.5537 	EXP 	window1: recordFrameIntervals = False
85.5554 	DATA 	Keypress: left
85.5671 	EXP 	fixation: autoDraw = False
85.5671 	EXP 	grating: autoDraw = False
85.5674 	EXP 	window1: recordFrameIntervals = False
86.5665 	EXP 	fixation: autoDraw = True
87.5659 	EXP 	fixation: autoDraw = False
87.5659 	EXP 	grating: autoDraw = True
87.5659 	EXP 	grating: tex = 'sin'
87.8659 	EXP 	grating: autoDraw = False
87.9516 	EXP 	window1: recordFrameIntervals = False
87.9530 	DATA 	Keypress: right
87.9658 	EXP 	fixation: autoDraw = False
87.9658 	EXP 	grating: autoDraw = False
87.9662 	EXP 	window1: recordFrameIntervals = False
88.9653 	EXP 	fixation: autoDraw = True
89.9646 	EXP 	fixation: autoDraw = False
89.9646 	EXP 	grating: autoDraw = True
89.9646 	EXP 	grating: tex = 'sin'
90.2645 	EXP 	grating: autoDraw = False
90.3669 	EXP 	window1: recordFrameIntervals = False
90.3683 	DATA 	Keypress: right
90.3813 	EXP 	fixation: autoDraw = False
90.3813 	EXP 	grating: autoDraw = False
90.3815 	EXP 	window1: recordFrameIntervals = False
91.3806 	EXP 	fixation: autoDraw = True
92.3800 	EXP 	fixation: autoDraw = False
92.3800 	EXP 	grating: autoDraw = True
92.3800 	EXP 	grating: tex = 'sin'
92.6798 	EXP 	grating: autoDraw = False
92.7990 	EXP 	window1: recordFrameIntervals = False
92.8006 	DATA 	Keypress: right
92.8132 	EXP 	fixation: autoDraw = False
92.8132 	EXP 	grating: autoDraw = False
92.8135 	EXP 	window1: recordFrameIntervals = False
